System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
33 2000.00 1304.00 100.000000 1.0000000000000000 1.000000 -1220265.209777 279.361662 37.313008 152.612611 -218.232004 2713.434371 -8.194 -8.194 2.680030 0.000000 1.779 n/a n/a
34 2000.00 1301.00 100.000000 1.0000000000000000 1.000000 -1220723.047195 279.071092 37.304868 152.612335 -218.204614 2713.304478 -8.225 -8.225 2.680615 0.000000 1.790 n/a n/a
35 2000.00 1298.00 100.000000 1.0000000000000000 1.000000 -1221180.883786 278.779967 37.296728 152.612059 -218.177255 2713.173396 -8.257 -8.257 2.681200 0.000000 1.802 n/a n/a
36 2000.00 1295.00 100.000000 1.0000000000000000 1.000000 -1221638.719551 278.488287 37.288589 152.611784 -218.149928 2713.041125 -8.289 -8.289 2.681786 0.000000 1.813 n/a n/a
37 2000.00 1292.00 100.000000 1.0000000000000000 1.000000 -1222096.554491 278.196049 37.280450 152.611509 -218.122633 2712.907664 -8.320 -8.320 2.682371 0.000000 1.825 n/a n/a
38 2000.00 1289.00 100.000000 1.0000000000000000 1.000000 -1222554.388607 277.903250 37.272312 152.611234 -218.095368 2712.773015 -8.352 -8.352 2.682957 0.000000 1.836 n/a n/a
39 2000.00 1286.00 100.000000 1.0000000000000000 1.000000 -1223012.221899 277.609890 37.264174 152.610960 -218.068136 2712.637176 -8.385 -8.385 2.683543 0.000000 1.848 n/a n/a
40 2000.00 1283.00 100.000000 1.0000000000000000 1.000000 -1223470.054367 277.315964 37.256036 152.610686 -218.040934 2712.500149 -8.417 -8.417 2.684129 0.000000 1.859 n/a n/a
41 2000.00 1280.00 100.000000 1.0000000000000000 1.000000 -1223927.886014 277.021473 37.247899 152.610412 -218.013765 2712.361932 -8.449 -8.449 2.684715 0.000000 1.871 n/a n/a
42 2000.00 1277.00 100.000000 1.0000000000000000 1.000000 -1224385.716840 276.726412 37.239762 152.610138 -217.986626 2712.222526 -8.482 -8.482 2.685302 0.000000 1.883 n/a n/a
43 2000.00 1274.00 100.000000 1.0000000000000000 1.000000 -1224843.546846 276.430780 37.231625 152.609865 -217.959519 2712.081931 -8.515 -8.515 2.685889 0.000000 1.895 n/a n/a
44 2000.00 1271.00 100.000000 1.0000000000000000 1.000000 -1225301.376031 276.134575 37.223489 152.609592 -217.932444 2711.940147 -8.548 -8.548 2.686476 0.000000 1.906 n/a n/a
45 2000.00 1268.00 100.000000 1.0000000000000000 1.000000 -1225759.204399 275.837795 37.215354 152.609319 -217.905400 2711.797174 -8.581 -8.581 2.687063 0.000000 1.918 n/a n/a
46 2000.00 1265.00 100.000000 1.0000000000000000 1.000000 -1226217.031948 275.540436 37.207218 152.609047 -217.878387 2711.653012 -8.614 -8.614 2.687651 0.000000 1.930 n/a n/a
47 2000.00 1262.00 100.000000 1.0000000000000000 1.000000 -1226674.858679 275.242498 37.199084 152.608775 -217.851406 2711.507660 -8.647 -8.647 2.688238 0.000000 1.942 n/a n/a
48 2000.00 1259.00 100.000000 1.0000000000000000 1.000000 -1227132.684595 274.943977 37.190949 152.608503 -217.824457 2711.361120 -8.681 -8.681 2.688826 0.000000 1.954 n/a n/a
49 2000.00 1256.00 100.000000 1.0000000000000000 1.000000 -1227590.509695 274.644872 37.182815 152.608231 -217.797539 2711.213390 -8.715 -8.715 2.689414 0.000000 1.966 n/a n/a
50 2000.00 1253.00 100.000000 1.0000000000000000 1.000000 -1228048.333980 274.345180 37.174682 152.607959 -217.770652 2711.064472 -8.749 -8.749 2.690003 0.000000 1.978 n/a n/a
51 2000.00 1250.00 100.000000 1.0000000000000000 1.000000 -1228506.157451 274.044899 37.166549 152.607688 -217.743797 2710.914364 -8.783 -8.783 2.690591 0.000000 1.991 n/a n/a
52 2000.00 1247.00 100.000000 1.0000000000000000 1.000000 -1228963.980109 273.744027 37.158417 152.607417 -217.716973 2710.763067 -8.817 -8.817 2.691180 0.000000 2.003 n/a n/a
53 2000.00 1244.00 100.000000 1.0000000000000000 1.000000 -1229421.801955 273.442560 37.150285 152.607147 -217.690181 2710.610581 -8.851 -8.851 2.691769 0.000000 2.015 n/a n/a
54 2000.00 1241.00 100.000000 1.0000000000000000 1.000000 -1229879.622989 273.140498 37.142153 152.606876 -217.663420 2710.456906 -8.886 -8.886 2.692359 0.000000 2.027 n/a n/a
55 2000.00 1238.00 100.000000 1.0000000000000000 1.000000 -1230337.443212 272.837836 37.134022 152.606606 -217.636691 2710.302042 -8.920 -8.920 2.692948 0.000000 2.040 n/a n/a
56 2000.00 1235.00 100.000000 1.0000000000000000 1.000000 -1230795.262625 272.534574 37.125891 152.606336 -217.609993 2710.145988 -8.955 -8.955 2.693538 0.000000 2.052 n/a n/a
57 2000.00 1232.00 100.000000 1.0000000000000000 1.000000 -1231253.081229 272.230709 37.117761 152.606067 -217.583327 2709.988746 -8.990 -8.990 2.694128 0.000000 2.065 n/a n/a
58 2000.00 1229.00 100.000000 0.9965703980483029 0.996549 -1231828.050540 271.848269 37.105032 152.511611 -216.946930 2705.426309 -9.025 -9.025 2.695111 2.678036 2.073 n/a n/a
59 2000.00 1230.00 100.000000 1.0000000000000000 1.000000 -1231558.293183 272.027796 37.112341 152.605887 -217.565567 2709.883257 -9.014 -9.014 2.694521 0.000000 2.073 n/a n/a
60 2000.00 1229.00 100.000000 0.9965703979736031 0.996549 -1231828.050542 271.848269 37.105032 152.511611 -216.946930 2705.426309 -9.025 -9.025 2.695111 2.678036 2.073 n/a n/a
61 2000.00 1229.10 100.000000 0.9969987602932752 0.996980 -1231798.167773 271.868162 37.105878 152.523384 -217.024027 2705.981527 -9.024 -9.024 2.695042 2.678055 2.073 n/a n/a
62 2000.00 1229.20 100.000000 0.9974274284152826 0.997411 -1231768.271642 271.888062 37.106724 152.535165 -217.101165 2706.537178 -9.023 -9.023 2.694973 2.678074 2.073 n/a n/a
63 2000.00 1229.30 100.000000 0.9978564031990313 0.997843 -1231738.362117 271.907970 37.107570 152.546955 -217.178342 2707.093265 -9.022 -9.022 2.694904 2.678093 2.073 n/a n/a
64 2000.00 1229.40 100.000000 0.9982856847667003 0.998275 -1231708.439190 271.927886 37.108417 152.558753 -217.255560 2707.649787 -9.021 -9.021 2.694835 2.678112 2.073 n/a n/a
65 2000.00 1229.50 100.000000 0.9987152739579943 0.998707 -1231678.502828 271.947809 37.109264 152.570559 -217.332819 2708.206746 -9.019 -9.019 2.694766 2.678130 2.074 n/a n/a
66 2000.00 1229.60 100.000000 0.9991451715849157 0.999140 -1231648.553000 271.967739 37.110111 152.582375 -217.410118 2708.764142 -9.018 -9.018 2.694698 2.678149 2.074 n/a n/a
67 2000.00 1229.70 100.000000 0.9995753762906354 0.999573 -1231618.589747 271.987678 37.110959 152.594198 -217.487458 2709.321974 -9.017 -9.017 2.694629 2.678168 2.074 n/a n/a
68 2000.00 1229.80 100.000000 1.0000000000000000 1.000000 -1231588.814358 272.007490 37.111799 152.605869 -217.563791 2709.872679 -9.016 -9.016 2.694561 0.000000 2.074 n/a n/a
69 2000.00 1229.70 100.000000 0.9995753768697818 0.999573 -1231618.589728 271.987678 37.110959 152.594198 -217.487458 2709.321975 -9.017 -9.017 2.694629 2.678168 2.074 n/a n/a
70 2000.00 1230.10 100.000000 1.0000000000000000 1.000000 -1231543.032594 272.037948 37.112612 152.605896 -217.566454 2709.888544 -9.013 -9.013 2.694502 0.000000 2.072 n/a n/a
71 2000.00 1229.80 100.000000 1.0000000000000000 1.000000 -1231588.814358 272.007490 37.111799 152.605869 -217.563791 2709.872679 -9.016 -9.016 2.694561 0.000000 2.074 n/a n/a
72 2000.00 1229.90 100.000000 1.0000000000000000 1.000000 -1231573.553771 272.017643 37.112070 152.605878 -217.564679 2709.877969 -9.015 -9.015 2.694541 0.000000 2.073 n/a n/a
73 2000.00 1227.90 100.000000 0.9918821752927056 0.991828 -1232155.625678 271.630119 37.095760 152.382769 -216.102171 2699.352203 -9.038 -9.038 2.695873 2.677827 2.073 n/a n/a
74 2000.00 1225.90 100.000000 0.9834477549767031 0.983327 -1232747.378735 271.235631 37.079001 152.150998 -214.577862 2688.436185 -9.060 -9.060 2.697275 2.677445 2.072 n/a n/a
75 2000.00 1223.90 100.000000 0.9613844699553683 0.961990 -1233853.207670 270.497411 37.039997 151.411499 -211.270134 2656.803311 -9.067 -9.067 2.698083 2.742829 2.079 n/a n/a
76 2000.00 1221.90 100.000000 0.9372934857140272 0.938721 -1235032.937376 269.708853 36.997537 150.594095 -207.703696 2622.047711 -9.070 -9.070 2.698772 2.765846 2.088 n/a n/a
77 2000.00 1219.90 100.000000 0.9143794694787396 0.916539 -1236165.567997 268.950765 36.956843 149.817870 -204.298438 2589.035195 -9.074 -9.074 2.699483 2.775878 2.097 n/a n/a
78 2000.00 1217.91 100.000000 0.8925600351604047 0.895372 -1237254.453376 268.220978 36.917797 149.079867 -201.043439 2557.640918 -9.078 -9.078 2.700213 2.781522 2.106 n/a n/a
79 2000.00 1215.91 100.000000 0.8604583290255802 0.865114 -1238765.033716 267.207150 36.826191 147.973684 -196.471546 2515.133111 -9.096 -9.096 2.700846 2.809179 2.114 n/a n/a
80 2000.00 1213.91 100.000000 0.8260471008499817 0.832742 -1240369.743025 266.128764 36.719493 146.785649 -191.607817 2470.475068 -9.118 -9.118 2.701455 2.832355 2.122 n/a n/a
81 2000.00 1211.91 100.000000 0.7937818220160255 0.802218 -1241886.221018 265.108299 36.619266 145.674938 -187.026333 2428.608679 -9.138 -9.138 2.702085 2.847283 2.129 n/a n/a
82 2000.00 1209.91 100.000000 0.7634595184689731 0.773381 -1243322.924123 264.140214 36.524896 144.634074 -182.701022 2389.263780 -9.157 -9.157 2.702735 2.857724 2.135 n/a n/a
83 2000.00 1207.91 100.000000 0.7348926307205604 0.746082 -1244687.670582 263.219374 36.435765 143.655974 -178.608047 2352.170879 -9.175 -9.175 2.703394 2.865503 2.142 n/a n/a
84 2000.00 1205.91 100.000000 0.7078937791991097 0.720175 -1245986.178511 262.342045 36.351169 140.532862 -174.724024 2317.021422 -9.193 -9.193 2.704032 2.871675 2.148 n/a n/a
85 2000.00 1203.91 100.000000 0.6823651792114855 0.695570 -1247222.456768 261.505630 36.271010 139.734054 -171.035431 2283.766230 -9.209 -9.209 2.704681 2.876615 2.154 n/a n/a
86 2000.00 1201.91 100.000000 0.6581853466937705 0.672170 -1248403.972872 260.705182 36.194921 138.980070 -167.526730 2252.242788 -9.224 -9.224 2.705337 2.880678 2.159 n/a n/a
87 2000.00 1199.91 100.000000 0.6352468585609060 0.649885 -1249535.203308 259.937762 36.122575 138.267160 -164.184213 2222.307160 -9.238 -9.238 2.705996 2.884097 2.164 n/a n/a
88 2000.00 1197.91 100.000000 0.6134538850617278 0.628636 -1250620.143188 259.200746 36.053683 137.591977 -160.995666 2193.830776 -9.251 -9.251 2.706656 2.887033 2.168 n/a n/a
89 2000.00 1195.91 100.000000 0.5927206214956733 0.608350 -1251662.370724 258.491781 35.987986 136.951525 -157.950162 2166.698356 -9.264 -9.264 2.707314 2.889597 2.173 n/a n/a
90 2000.00 1193.92 100.000000 0.5729699647605827 0.588964 -1252665.101625 257.808755 35.925249 136.343109 -155.037890 2140.806164 -9.275 -9.275 2.707966 2.891872 2.177 n/a n/a
91 2000.00 1191.92 100.000000 0.5541323918963226 0.570418 -1253631.235198 257.149761 35.865264 135.764301 -152.250011 2116.060523 -9.286 -9.286 2.708607 2.893918 2.180 n/a n/a
92 2000.00 1189.92 100.000000 0.5361450061510620 0.552659 -1254563.393569 256.513072 35.807842 135.212906 -149.578528 2092.376558 -9.296 -9.296 2.709235 2.895781 2.184 n/a n/a
93 2000.00 1187.92 100.000000 0.5189507226446930 0.535638 -1255463.955193 255.897124 35.752809 134.686930 -147.016186 2069.677119 -9.306 -9.306 2.709844 2.897497 2.187 n/a n/a
94 2000.00 1185.92 100.000000 0.5024975708243682 0.519311 -1256335.083583 255.300491 35.700010 134.184562 -144.556376 2047.891859 -9.314 -9.314 2.710431 2.899095 2.190 n/a n/a
95 2000.00 1183.92 100.000000 0.4867380949803146 0.503636 -1257178.752035 254.721872 35.649301 133.704149 -142.193062 2026.956443 -9.323 -9.323 2.710990 2.900597 2.193 n/a n/a
96 2000.00 1181.92 100.000000 0.4716288373607737 0.488575 -1257996.764988 254.160079 35.600553 133.244181 -139.920710 2006.811859 -9.331 -9.331 2.711517 2.902021 2.195 n/a n/a
97 2000.00 1179.92 100.000000 0.4571298910143734 0.474094 -1258790.776534 253.614020 35.553644 132.803272 -137.734232 1987.403824 -9.338 -9.338 2.712006 2.903381 2.198 n/a n/a
98 2000.00 1177.92 100.000000 0.4432045115938016 0.460161 -1259562.306535 253.082691 35.508465 132.380151 -135.628936 1968.682270 -9.346 -9.346 2.712452 2.904690 2.200 n/a n/a
99 2000.00 1175.92 100.000000 0.4298187790757653 0.446746 -1260312.754693 252.565169 35.464914 131.973645 -133.600483 1950.600886 -9.352 -9.352 2.712850 2.905959 2.202 n/a n/a
100 2000.00 1173.92 100.000000 0.4169413017084383 0.433821 -1261043.412899 252.060598 35.422896 131.582674 -131.644847 1933.116721 -9.359 -9.359 2.713192 2.907196 2.204 n/a n/a
101 2000.00 1171.93 100.000000 0.4045429555930719 0.421360 -1261755.476119 251.568188 35.382323 131.206237 -129.758286 1916.189834 -9.365 -9.365 2.713473 2.908408 2.207 n/a n/a
102 2000.00 1169.93 100.000000 0.3925966541923068 0.409338 -1262450.052044 251.087206 35.343115 130.843407 -127.937309 1899.782974 -9.371 -9.371 2.713685 2.909602 2.209 n/a n/a
103 2000.00 1167.93 100.000000 0.3810771426747423 0.397734 -1263128.169694 250.616970 35.305195 130.493323 -126.178650 1883.861301 -9.377 -9.377 2.713822 2.910783 2.211 n/a n/a
104 2000.00 1165.93 100.000000 0.3699608124882955 0.386526 -1263790.787180 250.156845 35.268492 130.155183 -124.479248 1868.392120 -9.383 -9.383 2.713874 2.911956 2.214 n/a n/a
105 2000.00 1163.93 100.000000 0.3592255318608164 0.375694 -1264438.798759 249.706237 35.232941 129.828238 -122.836224 1853.344646 -9.389 -9.389 2.713835 2.913125 2.216 n/a n/a
106 2000.00 1161.93 100.000000 0.3488504881381472 0.365220 -1265073.041363 249.264589 35.198479 129.511788 -121.246858 1838.689764 -9.395 -9.395 2.713696 2.914295 2.219 n/a n/a
107 2000.00 1159.93 100.000000 0.3388160380839611 0.355084 -1265694.300734 248.831379 35.165047 129.205173 -119.708577 1824.399811 -9.401 -9.401 2.713446 2.915468 2.222 n/a n/a
108 2000.00 1157.93 100.000000 0.3291035626503418 0.345271 -1266303.317304 248.406113 35.132592 128.907774 -118.218929 1810.448335 -9.407 -9.407 2.713075 2.916648 2.226 n/a n/a
109 2000.00 1155.93 100.000000 0.3196953236012927 0.335764 -1266900.791927 247.988323 35.101060 128.619003 -116.775570 1796.809869 -9.414 -9.414 2.712573 2.917837 2.229 n/a n/a
110 2000.00 1153.93 100.000000 0.3105743213580559 0.326548 -1267487.391480 247.577564 35.070403 128.338300 -115.376242 1783.459678 -9.420 -9.420 2.711927 2.919039 2.233 n/a n/a
111 2000.00 1151.93 100.000000 0.3017241574513115 0.317607 -1268063.754227 247.173407 35.040575 128.065130 -114.018759 1770.373522 -9.428 -9.428 2.711123 2.920257 2.238 n/a n/a
112 2000.00 1149.93 100.000000 0.2931289125977068 0.308926 -1268630.494554 246.775439 35.011530 127.798977 -112.700987 1757.527437 -9.435 -9.435 2.710148 2.921491 2.243 n/a n/a
113 2000.00 1147.94 100.000000 0.2847730637812492 0.300492 -1269188.206226 246.383261 34.983228 127.539342 -111.420833 1744.897615 -9.443 -9.443 2.708985 2.922746 2.248 n/a n/a
114 2000.00 1145.94 100.000000 0.2766414796708961 0.292289 -1269737.462745 245.996485 34.955629 127.285747 -110.176246 1732.460461 -9.452 -9.452 2.707616 2.924023 2.255 n/a n/a
115 2000.00 1143.94 100.000000 0.2687195441674635 0.284306 -1270278.812977 245.614738 34.928694 127.037734 -108.965223 1720.192967 -9.462 -9.462 2.706022 2.925325 2.262 n/a n/a
116 2000.00 1141.94 100.000000 0.2609934424779437 0.276528 -1270812.770773 245.237674 34.902389 126.794880 -107.785849 1708.073498 -9.473 -9.473 2.704182 2.926653 2.269 n/a n/a
117 2000.00 1139.94 100.000000 0.2534505809172548 0.268943 -1271339.799543 244.864976 34.876685 126.556807 -106.636343 1696.082910 -9.486 -9.486 2.702076 2.928008 2.278 n/a n/a
118 2000.00 1137.94 100.000000 0.2460800157946895 0.261542 -1271860.296316 244.496376 34.851556 126.323202 -105.515107 1684.205733 -9.499 -9.499 2.699682 2.929391 2.288 n/a n/a
119 2000.00 1135.94 100.000000 0.2388727190121200 0.254315 -1272374.581620 244.131658 34.826984 126.093820 -104.420758 1672.430959 -9.515 -9.515 2.696983 2.930800 2.298 n/a n/a
120 2000.00 1133.94 100.000000 0.2318215882570674 0.247256 -1272882.898731 243.770661 34.802954 125.868490 -103.352123 1660.752211 -9.532 -9.532 2.693960 2.932234 2.310 n/a n/a
121 2000.00 1131.94 100.000000 0.2249212709559524 0.240358 -1273385.420020 243.413273 34.779459 125.647103 -102.308216 1649.167425 -9.551 -9.551 2.690599 2.933689 2.323 n/a n/a
122 2000.00 1129.94 100.000000 0.2181679664077953 0.233617 -1273882.254539 243.059426 34.756499 125.429608 -101.288209 1637.678440 -9.572 -9.572 2.686889 2.935160 2.337 n/a n/a
123 2000.00 1127.94 100.000000 0.2115593342192729 0.227031 -1274373.452232 242.709095 34.734075 125.216010 -100.291425 1626.290815 -9.595 -9.595 2.682819 2.936643 2.352 n/a n/a
124 2000.00 1125.95 100.000000 0.2050945383593596 0.220597 -1274859.003701 242.362297 34.712196 125.006366 -99.317340 1615.013932 -9.621 -9.621 2.678387 2.938130 2.369 n/a n/a
125 2000.00 1123.95 100.000000 0.1987743788193886 0.214314 -1275338.837292 242.019092 34.690872 124.800794 -98.365613 1603.861290 -9.650 -9.650 2.673592 2.939615 2.387 n/a n/a
126 2000.00 1121.95 100.000000 0.1926014277798820 0.208184 -1275812.816527 241.679589 34.670119 124.599466 -97.436110 1592.850769 -9.681 -9.681 2.668441 2.941089 2.405 n/a n/a
127 2000.00 1119.95 100.000000 0.1865800785814377 0.202209 -1276280.741163 241.343943 34.649956 124.402615 -96.528923 1582.004638 -9.715 -9.715 2.662949 2.942543 2.425 n/a n/a
128 2000.00 1117.95 100.000000 0.1807164226078022 0.196393 -1276742.354753 241.012347 34.630403 124.210521 -95.644374 1571.349122 -9.753 -9.753 2.657137 2.943968 2.446 n/a n/a
129 2000.00 1115.95 100.000000 0.1750178947729898 0.190742 -1277197.360503 240.685029 34.611480 124.023497 -94.782991 1560.913359 -9.792 -9.792 2.651036 2.945354 2.467 n/a n/a
130 2000.00 1113.95 100.000000 0.1694926784402657 0.185262 -1277645.445299 240.362225 34.593205 123.841867 -93.945452 1550.727779 -9.835 -9.835 2.644682 2.946692 2.489 n/a n/a
131 2000.00 1111.95 100.000000 0.1641489289082118 0.179959 -1278086.309296 240.044165 34.575593 123.665935 -93.132497 1540.822065 -9.880 -9.880 2.638118 2.947975 2.511 n/a n/a
132 2000.00 1109.95 100.000000 0.1589939375041501 0.174839 -1278519.696365 239.731048 34.558652 123.495961 -92.344835 1531.223005 -9.927 -9.927 2.631388 2.949197 2.534 n/a n/a
133 2000.00 1107.95 100.000000 0.1540333860368887 0.169906 -1278945.419995 239.423023 34.542384 123.332134 -91.583049 1521.952649 -9.976 -9.976 2.624540 2.950352 2.557 n/a n/a
134 2000.00 1105.95 100.000000 0.1492708183835655 0.165163 -1279363.380332 239.120176 34.526783 123.174560 -90.847517 1513.027046 -10.026 -10.026 2.617615 2.951437 2.579 n/a n/a
135 2000.00 1103.95 100.000000 0.1447073933738180 0.160610 -1279773.570509 238.822529 34.511836 123.023257 -90.138372 1504.455723 -10.078 -10.078 2.610655 2.952453 2.601 n/a n/a
136 2000.00 1101.96 100.000000 0.1403419107072559 0.156246 -1280176.073035 238.530035 34.497524 122.878159 -89.455490 1496.241857 -10.130 -10.130 2.603692 2.953399 2.623 n/a n/a
137 2000.00 1099.96 100.000000 0.1361710480548531 0.152068 -1280571.048839 238.242594 34.483822 122.739128 -88.798501 1488.382963 -10.183 -10.183 2.596755 2.954278 2.644 n/a n/a
138 2000.00 1097.96 100.000000 0.1321897253243664 0.148071 -1280958.722210 237.960056 34.470704 122.605968 -88.166827 1480.871881 -10.236 -10.236 2.589869 2.955093 2.664 n/a n/a
139 2000.00 1095.96 100.000000 0.1283915171052203 0.144249 -1281339.364528 237.682237 34.458140 122.478442 -87.559723 1473.697866 -10.289 -10.289 2.583051 2.955847 2.684 n/a n/a
140 2000.00 1093.96 100.000000 0.1247690544107939 0.140594 -1281713.278881 237.408930 34.446099 122.356283 -86.976319 1466.847624 -10.342 -10.342 2.576314 2.956545 2.703 n/a n/a
141 2000.00 1091.96 100.000000 0.1213143802181579 0.137101 -1282080.786742 237.139913 34.434550 122.239213 -86.415664 1460.306219 -10.394 -10.394 2.569668 2.957190 2.722 n/a n/a
142 2000.00 1089.96 100.000000 0.1180192430203129 0.133761 -1282442.217175 236.874956 34.423465 122.126945 -85.876759 1454.057815 -10.447 -10.447 2.563120 2.957786 2.740 n/a n/a
